ADAMS,COUNTY CLERK,217/277-2150,http://www.co.adams.il.us/County_clerk/index.htm,ocd-division/country:us/state:il/county:adams
ALEXANDER,COUNTY CLERK,618/734-7000,"",ocd-division/country:us/state:il/county:alexander
BOND,COUNTY CLERK,618/664-0449,http://www.bondcountyil.com,ocd-division/country:us/state:il/county:bond
BOONE,COUNTY CLERK,815/544-3103,http://www.boonecountyil.org/department/clerk,ocd-division/country:us/state:il/county:boone
BROWN,COUNTY CLERK,217/773-3421,"",ocd-division/country:us/state:il/county:brown
BUREAU,COUNTY CLERK,815/875-2014,http://www.bureaucountyclerk.com/ELECTIONS.html,ocd-division/country:us/state:il/county:bureau
CALHOUN,COUNTY CLERK,618/576-2351,"",ocd-division/country:us/state:il/county:calhoun
CARROLL,COUNTY CLERK,815/244-0221,http://www.carroll-county.net,ocd-division/country:us/state:il/county:carroll
CASS,COUNTY CLERK,217/452-7217,"",ocd-division/country:us/state:il/county:cass
CHAMPAIGN,COUNTY CLERK,217/384-3724,http://www.champaigncountyclerk.com,ocd-division/country:us/state:il/county:champaign
CHRISTIAN,COUNTY CLERK,217/824-4969,http://www.christiancountyil.com/countyclerk,ocd-division/country:us/state:il/county:christian
CLARK,COUNTY CLERK,217/826-8311,http://www.clarkcountyil.org,ocd-division/country:us/state:il/county:clark
CLAY,COUNTY CLERK,618/665-3626,http://www.claycountyillinois.org,ocd-division/country:us/state:il/county:clay
CLINTON,COUNTY CLERK,618/594-6620,http://www.clintonco.illinois.gov,ocd-division/country:us/state:il/county:clinton
COLES,COUNTY CLERK,217/348-0501,http://www.co.coles.il.us,ocd-division/country:us/state:il/county:coles
COOK,COUNTY CLERK,312/603-0906,http://www.cookcountyclerk.com,ocd-division/country:us/state:il/county:cook
CITY OF CHICAGO,EXECUTIVE DIRECTOR,312/269-7900,http://www.chicagoelections.com,""
CRAWFORD,COUNTY CLERK,618/546-1212,http://www.crawfordcountyclerk.com,ocd-division/country:us/state:il/county:crawford
CUMBERLAND,COUNTY CLERK,217/849-2631,http://www.cumberlandco.org,ocd-division/country:us/state:il/county:cumberland
DeKALB,COUNTY CLERK,815/895-7147,http://www.dekalbcounty.org,ocd-division/country:us/state:il/county:dekalb
DeWITT,COUNTY CLERK,217/935-7780,http://www.dewittcountyill.com/countyclerk.htm,""
DOUGLAS,COUNTY CLERK,217/253-2411,http://www.douglascountyil.com,ocd-division/country:us/state:il/county:douglas
DuPAGE,EXECUTIVE DIRECTOR,630/407-5600,http://www.dupageco.org/election,ocd-division/country:us/state:il/county:dupage
EDGAR,COUNTY CLERK,217/466-7433,http://www.edgarcountyillinois.com,ocd-division/country:us/state:il/county:edgar
EDWARDS,COUNTY CLERK,618/445-2115,"",ocd-division/country:us/state:il/county:edwards
EFFINGHAM,COUNTY CLERK,217/342-6535,http://www.co.effingham.il.us,ocd-division/country:us/state:il/county:effingham
FAYETTE,COUNTY CLERK,618/283-5000,http://www.fayettecountyillinois.org,ocd-division/country:us/state:il/county:fayette
FORD,COUNTY CLERK,217/379-2721,http://www.fordcounty.illinois.gov,ocd-division/country:us/state:il/county:crawford
FRANKLIN,COUNTY CLERK,618/439-3403,"",ocd-division/country:us/state:il/county:franklin
FULTON,COUNTY CLERK,309/547-3041,http://www.fultonco.org,ocd-division/country:us/state:il/county:fulton
GALLATIN,COUNTY CLERK,618/269-3025,"",ocd-division/country:us/state:il/county:gallatin
GREENE,COUNTY CLERK,217/942-5443,"",ocd-division/country:us/state:il/county:greene
GRUNDY,COUNTY CLERK,815/941-3222,http://www.grundyco.org/elections,ocd-division/country:us/state:il/county:grundy
HAMILTON,COUNTY CLERK,618/643-2721,"",ocd-division/country:us/state:il/county:hamilton
HANCOCK,COUNTY CLERK,217/357-3911,http://www.hancockcountyclerk.org,ocd-division/country:us/state:il/county:hancock
HARDIN,COUNTY CLERK,618/287-2251,"",ocd-division/country:us/state:il/county:hardin
HENDERSON,COUNTY CLERK,309/867-2911,"",ocd-division/country:us/state:il/county:henderson
HENRY,COUNTY CLERK,309/937-3481,http://www.henrycty.com,ocd-division/country:us/state:il/county:henry
IROQUOIS,COUNTY CLERK,815/432-6960,http://www.co.iroquois.il.us/elections/,ocd-division/country:us/state:il/county:iroquois
JACKSON,COUNTY CLERK,618/687-7360,http://www.co.jackson.il.us,ocd-division/country:us/state:il/county:jackson
JASPER,COUNTY CLERK,618/783-3124,"",ocd-division/country:us/state:il/county:jasper
JEFFERSON,COUNTY CLERK,618/244-8020,http://www.jeffersoncountyillinois.com,ocd-division/country:us/state:il/county:jefferson
JERSEY,COUNTY CLERK,618/498-5571,http://www.jerseycountyclerk-il.com,ocd-division/country:us/state:il/county:jersey
JoDAVIESS,COUNTY CLERK,815/777-0161,http://www.jodaviess.org,""
JOHNSON,COUNTY CLERK,618/658-3611,http://www.johnsoncountyil.com/elections,ocd-division/country:us/state:il/county:johnson
KANE,COUNTY CLERK,630/232-5990,http://www.kanecountyelections.org,ocd-division/country:us/state:il/county:kane
CITY OF AURORA,EXECUTIVE DIRECTOR,630/897-4030,http://www.auroravotes.org,""
KANKAKEE,COUNTY CLERK,815/937-2990,http://www.kankakeecountyclerk.com,ocd-division/country:us/state:il/county:kankakee
KENDALL,COUNTY CLERK,630/553-4104,http://www.co.kendall.il.us/county-clerk,ocd-division/country:us/state:il/county:kendall
KNOX,COUNTY CLERK,309/345-3815,http://www.knoxclerk.org,ocd-division/country:us/state:il/county:knox
CITY OF GALESBURG,EXECUTIVE DIRECTOR,309/342-5563,http://www.ci.galesburg.il.us/government/for_voters/,""
LAKE,COUNTY CLERK,847/377-2400,http://www.lakecountyclerk.info,ocd-division/country:us/state:il/county:lake
LaSALLE,COUNTY CLERK,815/434-8202,http://www.lasallecounty.org,ocd-division/country:us/state:il/county:lasalle
LAWRENCE,COUNTY CLERK,618/943-2346,http://www.lawrencecountyillinois.com,ocd-division/country:us/state:il/county:lawrence
LEE,COUNTY CLERK,815/288-3309,http://www.leecountyil.com,ocd-division/country:us/state:il/county:lee
LIVINGSTON,COUNTY CLERK,815/844-2006,http://www.livingstoncountyil.gov,ocd-division/country:us/state:il/county:livingston
LOGAN,COUNTY CLERK,217/732-4148,http://www.co.logan.il.us/county_clerk,ocd-division/country:us/state:il/county:logan
MACON,COUNTY CLERK,217/424-1305,http://www.co.macon.il.us,ocd-division/country:us/state:il/county:macon
MACOUPIN,COUNTY CLERK,217/854-3214,http://www.macoupinvotes.com,ocd-division/country:us/state:il/county:macoupin
MADISON,COUNTY CLERK,618/692-6290,http://www.madisonvotes.com,ocd-division/country:us/state:il/county:madison
MARION,COUNTY CLERK,618/548-3400,"",ocd-division/country:us/state:il/county:marion
MARSHALL,COUNTY CLERK,309/246-6325,http://www.marshallcountyillinois.com,ocd-division/country:us/state:il/county:marshall
MASON,COUNTY CLERK,309/543-6661,http://www.masoncountyil.org,ocd-division/country:us/state:il/county:mason
MASSAC,COUNTY CLERK,618/524-5213,"",ocd-division/country:us/state:il/county:massac
McDONOUGH,COUNTY CLERK,309/833-2474,http://www.mcdonoughelections.com,ocd-division/country:us/state:il/county:mcdonough
McHENRY,COUNTY CLERK,815/334-4242,http://www.co.mchenry.il.us,ocd-division/country:us/state:il/county:mchenry
McLEAN,COUNTY CLERK,309/888-5190,http://www.mcleancountyil.gov/countyclerk,ocd-division/country:us/state:il/county:mclean
CITY OF BLOOMINGTON,EXECUTIVE DIRECTOR,309/888-5136,http://www.becvote.org,""
MENARD,COUNTY CLERK,217/632-3201,http://www.menardcountyil.com,ocd-division/country:us/state:il/county:menard
MERCER,COUNTY CLERK,309/582-7021,http://www.mercercountyil.org,ocd-division/country:us/state:il/county:mercer
MONROE,COUNTY CLERK,618/939-8681,http://www.monroecountyil.org,ocd-division/country:us/state:il/county:monroe
MONTGOMERY,COUNTY CLERK,217/532-9530,http://www.montgomeryco.com,ocd-division/country:us/state:il/county:montgomery
MORGAN,COUNTY CLERK,217/243-8581,http://www.morgancounty-il.com,ocd-division/country:us/state:il/county:morgan
MOULTRIE,COUNTY CLERK,217/728-4389,http://www.moultriecountyil.com/electinfo.php,ocd-division/country:us/state:il/county:moultrie
OGLE,COUNTY CLERK,815/732-1110,http://www.oglecounty.org,ocd-division/country:us/state:il/county:ogle
PEORIA,COUNTY CLERK,309/672-6070,http://www.peoriacounty.org/countyclerk/elections,ocd-division/country:us/state:il/county:peoria
CITY OF PEORIA,EXECUTIVE DIRECTOR,309/494-8683,http://www.peoriaelections.org,""
PERRY,COUNTY CLERK,618/357-5116,http://www.perrycountyclerk.com,ocd-division/country:us/state:il/county:perry
PIATT,COUNTY CLERK,217/762-9487,http://www.piattcounty.org,ocd-division/country:us/state:il/county:piatt
PIKE,COUNTY CLERK,217/285-6812,"",ocd-division/country:us/state:il/county:pike
POPE,COUNTY CLERK,618/683-4466,"",ocd-division/country:us/state:il/county:pope
PULASKI,COUNTY CLERK,618/748-9360,"",ocd-division/country:us/state:il/county:pulaski
